tm,year,quarter,coef_ind_fr0,se_ind_fr0
1968.75,1968,4,,
1969,1969,1,2.156945,.9353902
1969.25,1969,2,.4303273,.4246347
1969.5,1969,3,2.668556,.638369
1969.75,1969,4,1.101036,.331648
1970,1970,1,.5015101,2.307481
1970.25,1970,2,3.025138,1.060537
1970.5,1970,3,2.737481,1.396412
1970.75,1970,4,-.0352664,.1285514
1971,1971,1,-.5029034,.7852787
1971.25,1971,2,1.654546,1.242843
1971.5,1971,3,-1.077197,.4001397
1971.75,1971,4,-1.473854,.7767457
1972,1972,1,.0858713,1.632026
1972.25,1972,2,-3.788172,.9858645
1972.5,1972,3,5.302063,1.317044
1972.75,1972,4,-2.013278,2.06011
1973,1973,1,.7204111,1.168889
1973.25,1973,2,1.900953,1.678154
1973.5,1973,3,1.219912,.7158532
1973.75,1973,4,.834317,.3828509
1974,1974,1,-1.392673,1.136272
1974.25,1974,2,7.857159,2.522595
1974.5,1974,3,4.458987,1.420523
1974.75,1974,4,1.359012,.2827998
1975,1975,1,.8575999,.2840688
1975.25,1975,2,.5163829,.5520228
1975.5,1975,3,2.168206,.7750741
1975.75,1975,4,-.2360113,.6479562
1976,1976,1,-2.324059,1.050463
1976.25,1976,2,-3.303807,1.116349
1976.5,1976,3,.7011976,.7997841
1976.75,1976,4,-.365809,.7003776
1977,1977,1,-.9761314,.2380465
1977.25,1977,2,-.3396764,.6972027
1977.5,1977,3,.6266475,1.403265
1977.75,1977,4,-1.109854,1.833994
1978,1978,1,3.53375,1.203313
1978.25,1978,2,1.430055,.3168783
1978.5,1978,3,-.1224587,.3790145
1978.75,1978,4,-.0604218,.3510281
1979,1979,1,-1.206399,.2619029
1979.25,1979,2,-1.233588,.8318948
1979.5,1979,3,-2.857423,.8325137
1979.75,1979,4,.6725937,.4674757
1980,1980,1,-.3225156,.450947
1980.25,1980,2,-.2424645,.6164867
1980.5,1980,3,-.9131804,.4948287
1980.75,1980,4,1.113053,.3297218
1981,1981,1,.8729776,.7795624
1981.25,1981,2,-1.089195,2.438518
1981.5,1981,3,.658372,.8037945
1981.75,1981,4,-.3587552,.2613002
1982,1982,1,.4834731,.4623707
1982.25,1982,2,-.0976172,.5023436
1982.5,1982,3,-.0476611,.7200408
1982.75,1982,4,3.0659,.4604327
1983,1983,1,1.249615,.522049
1983.25,1983,2,.7058183,.9442387
1983.5,1983,3,-.6112887,.4761488
1983.75,1983,4,1.31774,.4707746
1984,1984,1,2.481753,.4398214
1984.25,1984,2,.4421956,.1808664
1984.5,1984,3,-.7559823,.169729
1984.75,1984,4,.4014809,.3123902
1985,1985,1,-.046738,.3209374
1985.25,1985,2,-.2699632,.5491099
1985.5,1985,3,.8617141,.936873
1985.75,1985,4,-.6401541,.5575473
1986,1986,1,.9812158,.3446586
1986.25,1986,2,.671724,.4061803
1986.5,1986,3,-.193768,.4376146
1986.75,1986,4,.9760594,.6002926
1987,1987,1,-.1817461,.5500076
1987.25,1987,2,.640055,.569923
1987.5,1987,3,.1481247,.6661608
1987.75,1987,4,-.2080212,.4287362
1988,1988,1,1.101567,.450678
1988.25,1988,2,-1.116171,.3565906
1988.5,1988,3,-2.920199,.6021782
1988.75,1988,4,.3336522,.7334739
1989,1989,1,.6695715,.6483766
1989.25,1989,2,-.0541298,.4836658
1989.5,1989,3,.0498712,.6044681
1989.75,1989,4,-.2418063,.8259955
1990,1990,1,1.118761,.9476955
1990.25,1990,2,2.377603,.5328669
1990.5,1990,3,.2954227,.5559776
1990.75,1990,4,1.008862,.2634287
1991,1991,1,.890798,.2369276
1991.25,1991,2,-.2955096,.4165551
1991.5,1991,3,.4829929,.4760659
1991.75,1991,4,-1.171207,.2870934
1992,1992,1,.2465376,.5998173
1992.25,1992,2,-.8504124,.8580571
1992.5,1992,3,-.5453287,.8896818
1992.75,1992,4,-1.467412,1.153767
1993,1993,1,1.776127,1.440245
1993.25,1993,2,-.3460504,.6393997
1993.5,1993,3,-.718846,.7606485
1993.75,1993,4,2.977106,1.301279
1994,1994,1,-.7514058,.9651303
1994.25,1994,2,.2208674,.6102648
1994.5,1994,3,1.814581,1.133217
1994.75,1994,4,1.747101,.4761016
1995,1995,1,-1.41681,.4660718
1995.25,1995,2,1.210144,.4068801
1995.5,1995,3,1.041315,.6503003
1995.75,1995,4,.4081404,.6555102
1996,1996,1,-.412996,.6729526
1996.25,1996,2,-.0124502,.5363516
1996.5,1996,3,-.4838933,.7813789
1996.75,1996,4,.6914124,.9395112
1997,1997,1,3.765449,.8650795
1997.25,1997,2,3.725362,1.105167
1997.5,1997,3,2.74966,.7877531
1997.75,1997,4,1.815474,1.185759
1998,1998,1,4.056825,.4555827
1998.25,1998,2,-.9152095,.4717673
1998.5,1998,3,1.630494,.6268027
1998.75,1998,4,.4824878,.7744954
1999,1999,1,.6743396,.2632735
1999.25,1999,2,-.1892017,.8103986
1999.5,1999,3,.6608973,1.302164
1999.75,1999,4,1.312115,1.15566
2000,2000,1,2.383921,.5626365
2000.25,2000,2,.6438091,.6981636
2000.5,2000,3,-1.029062,.740818
2000.75,2000,4,1.772694,.959706
2001,2001,1,1.204535,.4799317
2001.25,2001,2,2.624674,.5085138
2001.5,2001,3,.7418227,.4035208
2001.75,2001,4,-.3630087,.1464524
2002,2002,1,1.423619,.422839
2002.25,2002,2,-1.400258,.415795
2002.5,2002,3,1.658705,.6633307
2002.75,2002,4,.5778874,.7369539
2003,2003,1,-1.053142,.7862509
2003.25,2003,2,1.359996,.7751091
2003.5,2003,3,1.372884,.6803439
2003.75,2003,4,-.3248604,.467505
2004,2004,1,-.0377506,.4250989
2004.25,2004,2,2.556296,.6583093
2004.5,2004,3,1.206054,.4854245
2004.75,2004,4,-3.013108,1.009102
2005,2005,1,2.475437,.9503267
2005.25,2005,2,1.257696,.6099899
2005.5,2005,3,.5334077,.7631704
2005.75,2005,4,.2208954,.9747456
2006,2006,1,2.744554,.8517081
2006.25,2006,2,3.680105,.735393
2006.5,2006,3,2.239103,1.358435
2006.75,2006,4,.9421763,.5472808
2007,2007,1,-1.539771,1.34572
2007.25,2007,2,2.95666,.685962
2007.5,2007,3,4.928245,.4401344
2007.75,2007,4,1.260306,.2357084
2008,2008,1,.6466062,.4991565
2008.25,2008,2,2.343844,.8059604
2008.5,2008,3,4.968962,.9030866
2008.75,2008,4,1.910086,.3000067
2009,2009,1,.9254186,.2717639
2009.25,2009,2,-.9239289,.3769073
2009.5,2009,3,1.6624,.6457086
2009.75,2009,4,-.4963345,1.158579
2010,2010,1,2.810108,1.029566
2010.25,2010,2,4.555601,1.167839
2010.5,2010,3,2.323842,.2800902
2010.75,2010,4,.9863193,.4270589
2011,2011,1,1.206223,.4811653
2011.25,2011,2,-.339752,.3020866
2011.5,2011,3,-1.111703,.2621514
2011.75,2011,4,-1.991778,.8570359
2012,2012,1,2.069434,.98186
2012.25,2012,2,-2.065365,.756112
2012.5,2012,3,2.365485,.9664956
2012.75,2012,4,.9553154,.4516293
2013,2013,1,-1.454047,.6291957
2013.25,2013,2,-.6272386,.8989369
2013.5,2013,3,,
2013.75,2013,4,,
2014,2014,1,,
